classid,Block Name,domainid
631,Foundations and Principles of Medical Science I,1
631,Foundations and Principles of Medical Science I,10
631,Foundations and Principles of Medical Science I,11
632,"Cardiovascular, Respiratory and Renal Systems I",5
632,"Cardiovascular, Respiratory and Renal Systems I",6
632,"Cardiovascular, Respiratory and Renal Systems I",10
632,"Cardiovascular, Respiratory and Renal Systems I",11
633,"Gastrointestinal, Endocrine and Reproductive Systems I",7
633,"Gastrointestinal, Endocrine and Reproductive Systems I",8
633,"Gastrointestinal, Endocrine and Reproductive Systems I",10
633,"Gastrointestinal, Endocrine and Reproductive Systems I",11
634,Musculoskeletal and Integumentary Systems,4
634,Musculoskeletal and Integumentary Systems,10
634,Musculoskeletal and Integumentary Systems,11
635,Nervous System and Human Behavior I,3
635,Nervous System and Human Behavior I,10
635,Nervous System and Human Behavior I,11
636,Foundations and Principles of Medical Science II,2
636,Foundations and Principles of Medical Science II,10
636,Foundations and Principles of Medical Science II,11
637,Whole Body,9
637,Whole Body,10
637,Whole Body,11
639,"Cardiovascular, Respiratory and Renal Systems II",5
639,"Cardiovascular, Respiratory and Renal Systems II",6
639,"Cardiovascular, Respiratory and Renal Systems II",10
639,"Cardiovascular, Respiratory and Renal Systems II",11
640,"Gastrointestinal, Endocrine and Reproductive Systems II",7
640,"Gastrointestinal, Endocrine and Reproductive Systems II",8
640,"Gastrointestinal, Endocrine and Reproductive Systems II",10
640,"Gastrointestinal, Endocrine and Reproductive Systems II",11
638,Nervous System and Human Behavior II,3
638,Nervous System and Human Behavior II,10
638,Nervous System and Human Behavior II,11
