ExamName,Score,PassScore,PassOrFail,StudentID
MCAT,514,510,True,598
Step 1,249,196,True,598
MCAT,512,510,True,472
Step 1,245,196,True,472
MCAT,499,510,False,707
Step 1,246,196,True,707
MCAT,510,510,True,922
Step 1,251,196,True,922
MCAT,514,510,True,609
Step 1,209,196,True,609
Step 2,217,214,True,609
MCAT,508,510,False,776
Step 1,240,196,True,776
MCAT,515,510,True,388
Step 1,257,196,True,388
MCAT,515,510,True,861
Step 1,264,196,True,861
MCAT,510,510,True,267
Step 1,204,196,True,267
Step 2,213,214,False,267
Step 1,227,196,True,168
Step 2,256,214,True,168
MCAT,503,510,False,142
Step 1,249,196,True,142
MCAT,497,510,False,882
Step 1,194,196,False,882
MCAT,514,510,True,790
Step 1,226,196,True,790
Step 1,215,196,True,148
MCAT,506,510,False,611
Step 1,206,196,True,611
MCAT,515,510,True,555
Step 1,255,196,True,555
MCAT,506,510,False,715
Step 1,197,196,True,715
MCAT,510,510,True,133
Step 1,220,196,True,133
Step 1,238,196,True,271
MCAT,510,510,True,190
Step 1,227,196,True,190
MCAT,515,510,True,489
Step 1,246,196,True,489
Step 1,216,196,True,638
MCAT,508,510,False,876
Step 1,240,196,True,876
Step 1,221,196,True,783
MCAT,515,510,True,641
Step 1,239,196,True,641
MCAT,514,510,True,554
Step 1,248,196,True,554
MCAT,510,510,True,656
Step 1,246,196,True,656
MCAT,508,510,False,446
Step 1,261,196,True,446
MCAT,515,510,True,878
Step 1,244,196,True,878
MCAT,514,510,True,563
Step 1,247,196,True,563
MCAT,519,510,True,308
Step 1,233,196,True,308
MCAT,506,510,False,213
Step 1,234,196,True,213
MCAT,517,510,True,683
Step 1,215,196,True,683
MCAT,506,510,False,464
Step 1,260,196,True,464
Step 2,258,214,True,464
MCAT,506,510,False,633
Step 1,222,196,True,633
MCAT,510,510,True,139
Step 1,228,196,True,139
MCAT,504,510,False,766
Step 1,226,196,True,766
MCAT,512,510,True,522
Step 1,249,196,True,522
MCAT,506,510,False,292
Step 1,230,196,True,292
MCAT,497,510,False,364
Step 1,228,196,True,364
MCAT,512,510,True,414
Step 1,243,196,True,414
MCAT,508,510,False,177
Step 1,258,196,True,177
Step 1,210,196,True,689
Step 2,211,214,False,689
Step 1,233,196,True,594
MCAT,514,510,True,640
Step 1,230,196,True,640
MCAT,512,510,True,434
Step 1,201,196,True,434
MCAT,510,510,True,902
Step 1,249,196,True,902
Step 1,253,196,True,499
Step 1,212,196,True,767
MCAT,503,510,False,129
Step 1,232,196,True,129
MCAT,517,510,True,125
Step 1,234,196,True,125
MCAT,519,510,True,265
Step 1,259,196,True,265
MCAT,512,510,True,799
Step 1,191,196,False,799
MCAT,512,510,True,410
Step 1,233,196,True,410
Step 2,245,214,True,410
MCAT,518,510,True,276
Step 1,233,196,True,276
Step 2,238,214,True,276
MCAT,501,510,False,212
Step 1,230,196,True,212
MCAT,512,510,True,822
Step 1,240,196,True,822
MCAT,506,510,False,225
Step 1,243,196,True,225
Step 1,249,196,True,543
Step 2,259,214,True,543
MCAT,521,510,True,165
Step 1,251,196,True,165
MCAT,503,510,False,873
Step 1,227,196,True,873
MCAT,512,510,True,370
Step 1,248,196,True,370
MCAT,512,510,True,568
Step 1,236,196,True,568
MCAT,508,510,False,810
Step 1,245,196,True,810
MCAT,503,510,False,417
Step 1,220,196,True,417
MCAT,506,510,False,720
Step 1,214,196,True,720
Step 2,256,214,True,720
MCAT,506,510,False,413
Step 1,225,196,True,413
Step 1,228,196,True,597
MCAT,508,510,False,858
Step 1,201,196,True,858
MCAT,509,510,False,111
Step 1,242,196,True,111
Step 2,248,214,True,111
MCAT,504,510,False,786
Step 1,260,196,True,786
Step 2,264,214,True,786
MCAT,512,510,True,564
Step 1,216,196,True,564
Step 2,234,214,True,564
MCAT,509,510,False,219
Step 1,233,196,True,219
Step 2,245,214,True,219
MCAT,515,510,True,606
Step 1,252,196,True,606
Step 2,250,214,True,606
MCAT,516,510,True,670
Step 1,229,196,True,670
Step 2,249,214,True,670
MCAT,507,510,False,623
Step 1,229,196,True,623
Step 2,254,214,True,623
MCAT,505,510,False,270
Step 1,238,196,True,270
Step 2,260,214,True,270
MCAT,504,510,False,175
Step 1,240,196,True,175
Step 2,250,214,True,175
MCAT,504,510,False,534
Step 1,231,196,True,534
Step 2,255,214,True,534
MCAT,508,510,False,750
Step 1,229,196,True,750
Step 2,244,214,True,750
MCAT,507,510,False,890
Step 1,240,196,True,890
Step 2,253,214,True,890
MCAT,505,510,False,288
Step 1,232,196,True,288
Step 2,244,214,True,288
MCAT,505,510,False,326
Step 1,236,196,True,326
Step 2,234,214,True,326
MCAT,509,510,False,857
Step 1,215,196,True,857
Step 2,226,214,True,857
MCAT,508,510,False,745
Step 1,183,196,False,745
Step 2,232,214,True,745
MCAT,517,510,True,791
Step 1,215,196,True,791
Step 2,227,214,True,791
MCAT,509,510,False,264
Step 1,248,196,True,264
Step 2,242,214,True,264
MCAT,509,510,False,584
Step 1,228,196,True,584
Step 2,240,214,True,584
MCAT,504,510,False,881
Step 1,151,196,False,881
MCAT,515,510,True,544
Step 1,238,196,True,544
Step 2,226,214,True,544
MCAT,507,510,False,526
Step 1,203,196,True,526
Step 2,232,214,True,526
