ClassificationName,PointsEarned,PointsAvailable,ClassID,DateTaught,StudentID
IMMUNO,8.0,8.0,636,2022,427
MICRO,1.0,1.0,636,2022,427
Virology,1.0,1.0,636,2022,427
HEME,1.0,1.0,637,2022,427
NUTR,1.0,1.0,637,2022,427
PATH,6.0,9.0,637,2022,427
PATH,0.0,1.0,639,2022,427
Renal,2.0,5.0,639,2022,427
ENDO,3.0,3.0,640,2023,427
CASE,2.0,4.0,638,2023,427
Mood disorder,1.0,1.0,638,2023,427
Neoplasm,0.0,1.0,638,2023,427
IMMUNO,7.0,8.0,636,2022,712
MICRO,0.0,1.0,636,2022,712
Virology,0.0,1.0,636,2022,712
HEME,0.0,1.0,637,2022,712
NUTR,0.0,1.0,637,2022,712
PATH,5.0,9.0,637,2022,712
PATH,0.0,1.0,639,2022,712
Renal,2.0,5.0,639,2022,712
CASE,3.0,4.0,638,2023,712
Mood disorder,1.0,1.0,638,2023,712
Neoplasm,0.0,1.0,638,2023,712
IMMUNO,7.0,8.0,636,2022,448
MICRO,1.0,1.0,636,2022,448
Virology,1.0,1.0,636,2022,448
HEME,0.0,1.0,637,2022,448
NUTR,1.0,1.0,637,2022,448
PATH,3.0,9.0,637,2022,448
PATH,1.0,1.0,639,2022,448
Renal,2.0,5.0,639,2022,448
CASE,3.0,4.0,638,2023,448
Mood disorder,1.0,1.0,638,2023,448
Neoplasm,0.0,1.0,638,2023,448
IMMUNO,7.0,8.0,636,2022,469
MICRO,1.0,1.0,636,2022,469
Virology,1.0,1.0,636,2022,469
HEME,0.0,1.0,637,2022,469
NUTR,1.0,1.0,637,2022,469
PATH,5.0,9.0,637,2022,469
PATH,0.0,1.0,639,2022,469
Renal,3.0,5.0,639,2022,469
CASE,3.0,4.0,638,2023,469
Mood disorder,1.0,1.0,638,2023,469
Neoplasm,0.0,1.0,638,2023,469
IMMUNO,6.0,8.0,636,2022,835
MICRO,0.0,1.0,636,2022,835
Virology,0.0,1.0,636,2022,835
HEME,1.0,1.0,637,2022,835
NUTR,0.0,1.0,637,2022,835
PATH,3.0,9.0,637,2022,835
PATH,0.0,1.0,639,2022,835
Renal,3.0,5.0,639,2022,835
CASE,3.0,4.0,638,2023,835
Mood disorder,1.0,1.0,638,2023,835
Neoplasm,0.0,1.0,638,2023,835
IMMUNO,6.0,8.0,636,2022,631
MICRO,1.0,1.0,636,2022,631
Virology,1.0,1.0,636,2022,631
