StudentID,LastName,FirstName,CumGPA,BcpmGPA,MMICalc,RosterYear,GraduationYear,Graduated,GraduationLength,Status
598,,,3.43,,,2012,2016,True,4.0,Grad
472,,,4.0,,,2012,2016,True,4.0,Grad
707,,,4.0,,,2012,2016,True,4.0,Grad
922,,,3.85,,,2012,2016,True,4.0,Grad
609,,,3.6,,,2012,2017,True,5.0,Grad Delayed
776,,,3.99,,,2012,2016,True,4.0,Grad
388,,,3.18,,,2012,2016,True,4.0,Grad
861,,,4.0,,,2012,2016,True,4.0,Grad
267,,,2.66,,,2012,2017,True,5.0,Grad Delayed
168,,,,,,2012,2016,True,4.0,Grad
142,,,3.56,,,2012,2016,True,4.0,Grad
882,,,3.58,,,2012,2016,True,4.0,Grad
790,,,3.91,,,2012,2016,True,4.0,Grad
148,,,,,,2012,2016,True,4.0,Grad
611,,,3.93,,,2012,2016,True,4.0,Grad
555,,,3.93,,,2012,2016,True,4.0,Grad
715,,,3.48,,,2012,2016,True,4.0,Grad
133,,,3.77,,,2012,2016,True,4.0,Grad
271,,,,,,2012,2016,True,4.0,Grad
190,,,3.79,,,2012,2016,True,4.0,Grad
489,,,3.75,,,2012,2016,True,4.0,Grad
638,,,,,,2012,2016,True,4.0,Grad
226,,,,,,2012,2016,True,4.0,Grad
876,,,3.27,,,2012,2016,True,4.0,Grad
783,,,,,,2012,2016,True,4.0,Grad
641,,,3.92,,,2012,2016,True,4.0,Grad
554,,,3.77,,,2012,2016,True,4.0,Grad
656,,,3.93,,,2012,2016,True,4.0,Grad
446,,,4.0,,,2012,2016,True,4.0,Grad
878,,,3.23,,,2012,2016,True,4.0,Grad
563,,,3.92,,,2012,2016,True,4.0,Grad
308,,,3.64,,,2012,2016,True,4.0,Grad
213,,,3.1,,,2012,2016,True,4.0,Grad
683,,,3.94,,,2012,2016,True,4.0,Grad
464,,,4.0,,,2012,2016,True,4.0,Grad
633,,,3.94,,,2012,2016,True,4.0,Grad
139,,,3.21,,,2012,2016,True,4.0,Grad
766,,,3.39,,,2012,2016,True,4.0,Grad
522,,,3.78,,,2012,2016,True,4.0,Grad
478,,,,,,2012,2019,True,,Grad Delayed
292,,,3.88,,,2012,2016,True,4.0,Grad
364,,,3.15,,,2012,2016,True,4.0,Grad
414,,,3.84,,,2012,2016,True,4.0,Grad
177,,,3.77,,,2012,2016,True,4.0,Grad
689,,,,,,2012,2018,True,6.0,Grad Delayed
594,,,,,,2012,2016,True,4.0,Grad
640,,,3.65,,,2012,2016,True,4.0,Grad
434,,,3.87,,,2012,2016,True,4.0,Grad
